支付宝交易记录明细查询,,,,,,,,,,,,,,,
账号:[jiayulv@tom.com],,,,,,,,,,,,,,,
起始日期:[2017-04-01 00:00:00]    终止日期:[2017-05-01 00:00:00],,,,,,,,,,,,,,,
---------------------------------交易记录明细列表------------------------------------,,,,,,,,,,,,,,,
交易号                  ,商户订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     
"2017043021001001890224942876	","T200P11526361618455329	",2017/4/30 17:51,2017/4/30 18:00,2017/5/2 14:57,淘宝        ,支付宝担保交易         ,h***9           ,德国 菲迪拉 18/10不锈钢大汤锅 五层复底加厚深型电磁炉通用锅具,166.01,收入      ,等待对方确认收货,0,0,                    ,待收入      
"2017043021001001700283975547	","T200P12505171187490458	",2017/4/30 9:06,                    ,2017/5/3 9:06,淘宝        ,支付宝担保交易         ,f***r           ,德国 菲迪拉 18/10不锈钢大汤锅 五层复底加厚深型电磁炉通用锅具,280.01,        ,交易关闭    ,0,0,                    ,         
"20170430169830958801 	","                    	",2017/4/30 7:20,                    ,2017/4/30 7:20,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.04.29-收益发放 ,0.51,收入      ,交易成功    ,0,0,                    ,已收入      
"20170430310500101000800003012693	","20170430310500501000800001964656	",2017/4/30 2:15,2017/4/30 2:15,2017/4/30 2:15,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-自动转入            ,98,        ,交易成功    ,0,0,                    ,资金转移     
"2017042921001001480283338123	","T200P12145790231378055	",2017/4/29 10:42,2017/4/29 10:45,2017/5/2 13:51,淘宝        ,支付宝担保交易         ,f***1           ,新锐 乌木儿童筷子 19cm 无漆无蜡天然实木家用筷子短 儿童专用R1,50,收入      ,等待对方确认收货,0,0,                    ,待收入      
"20170429168651144801 	","                    	",2017/4/29 7:55,                    ,2017/4/29 7:55,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2017.04.28-收益发放 ,0.51,收入      ,交易成功    ,0,0,                    ,已收入      
"BO2017042822287508800202	","ZZwxtKweepaasNBiY4NGIlTcpkp3Sp4H90HymDx99juZ+8SfhWk4iA==	",2017/4/28 23:39,2017/4/28 23:39,2017/4/28 23:39,支付宝网站     ,即时到账交易          ,杭州阿里妈妈软件服务有限公司  ,直通车自动充值-10144122-1493393955306,600,支出      ,交易成功    ,0,0,                    ,已支出      
"2017042804200234001010189186	","2017042804200234001010189186	",2017/4/28 21:36,2017/4/28 21:38,2017/4/28 21:38,支付宝网站     ,即时到账交易          ,宪荣              ,代付                  ,510,支出      ,代付成功    ,0,0,                    ,已支出      
"BO2017042819617278800202	","mKyuEVI6AfwQrin1Lb9Oxf8En5hCp9sr	",2017/4/28 13:39,2017/4/28 13:39,2017/4/28 13:39,支付宝网站     ,即时到账交易          ,杭州阿里妈妈软件服务有限公司  ,淘宝客佣金代扣款[9268270658073370],30.86,支出      ,交易成功    ,0,0,                    ,已支出      
"2017042821001001130292646679	","T200P11000441015626512	",2017/4/28 11:19,2017/4/28 11:21,2017/4/28 15:09,淘宝        ,支付宝担保交易         ,青***王           ,台湾米雅可琴音烧水壶 鸣笛水壶304不锈钢加厚燃气煤气电磁炉通用,245.75,收入      ,等待对方确认收货,0,0,                    ,待收入      
