支付宝交易记录明细查询,,,,,,,,,,,,,,,
账号:[jiayanlv66@yahoo.com.cn],,,,,,,,,,,,,,,
起始日期:[2017-04-01 00:00:00]    终止日期:[2017-05-01 00:00:00],,,,,,,,,,,,,,,
---------------------------------交易记录明细列表------------------------------------,,,,,,,,,,,,,,,
交易号                  ,商户订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     
"BO2017043006040651440202	","CAE_POINT_11020308892584735_2_0	",2017/4/30 23:07,2017/4/30 23:07,2017/4/30 23:07,支付宝网站     ,即时到账交易          ,浙江天猫技术有限公司      ,代扣返点积分11020308892584735,1.18,支出      ,交易成功    ,0,0,                    ,已支出      
"BO2017043006040652440202	","HJCOM==3200060031==1493159079880470==11020308892584735	",2017/4/30 23:07,2017/4/30 23:07,2017/4/30 23:07,支付宝网站     ,即时到账交易          ,浙江天猫技术有限公司      ,天猫佣金（类目）{11020308892584735}扣款,11.8,支出      ,交易成功    ,0,0,                    ,已支出      
"2017043021001001740294799872	","T200P12833951982703060	",2017/4/30 23:00,2017/4/30 23:04,2017/5/2 14:58,淘宝        ,支付宝担保交易         ,绅***浴           ,新锐鸡翅木筷子套装10双 雾金实木无漆无蜡家用红木礼品筷A91,210,收入      ,等待对方确认收货,0,0,                    ,待收入      
"BO2017043005813847440202	","ZZwxtKweepZvV8CqnJrnsDd7tFJ0dRBOidCLDtYulybyiijym/a0zZ+Y60A4RnMl	",2017/4/30 22:43,2017/4/30 22:43,2017/4/30 22:43,支付宝网站     ,即时到账交易          ,杭州阿里妈妈软件服务有限公司  ,直通车自动充值-15137929-1493563385927,2000,支出      ,交易成功    ,0,0,                    ,已支出      
"2017043021001001450268563872	","T200P12824128486414489	",2017/4/30 22:30,2017/4/30 22:30,2017/5/3 19:56,淘宝        ,支付宝担保交易         ,l***3           ,EKO 家用垃圾桶专用碳棉吸味剂 除臭炭包除味剂 厨房去异味活性炭 等多件,933,收入      ,交易成功    ,0,0,                    ,已收入      
"2017043021001001060245982156	","T200P12817730904426465	",2017/4/30 22:02,2017/4/30 22:03,2017/5/2 13:48,淘宝        ,支付宝担保交易         ,程***0           ,新锐鸡翅木筷子套装10双 雾金实木无漆无蜡家用红木礼品筷A91,376,收入      ,等待对方确认收货,0,0,                    ,待收入      
"2017043021001001390280274728	","T200P11564420236694020	",2017/4/30 21:53,2017/4/30 21:53,2017/5/2 14:57,淘宝        ,支付宝担保交易         ,探***径           ,德国菲迪拉18-10不锈钢炒锅不粘锅无油烟304电磁炉通用锅具玻璃盖(积分代付0.88),300,收入      ,等待对方确认收货,0,0,                    ,待收入      
"BO2017043005727928440202	","CAE_POINT_9606482670666115_2_0	",2017/4/30 21:38,2017/4/30 21:38,2017/4/30 21:38,支付宝网站     ,即时到账交易          ,浙江天猫技术有限公司      ,代扣返点积分9606482670666115,0.79,支出      ,交易成功    ,0,0,                    ,已支出      
"BO2017043005745424440202	","HJCOM==3200060031==1493126941370470==9606482670666115	",2017/4/30 21:38,2017/4/30 21:38,2017/4/30 21:38,支付宝网站     ,即时到账交易          ,浙江天猫技术有限公司      ,天猫佣金（类目）{9606482670666115}扣款,7.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2017043021001001120224326178	","T200P12802070619258057	",2017/4/30 21:27,2017/4/30 21:27,2017/5/2 13:42,淘宝        ,支付宝担保交易         ,虞***景           ,EKO垃圾袋 加厚5卷 自动收口垃圾袋手提式家用厨房中大号抽绳穿绳,136,收入      ,等待对方确认收货,0,0,                    ,待收入      
"2017043021001001390280107225	","T200P11554400870694020	",2017/4/30 21:13,                    ,2017/4/30 21:14,淘宝        ,支付宝担保交易         ,探***径           ,德国菲迪拉18-10不锈钢炒锅不粘锅无油烟304电磁炉通用锅具玻璃盖(积分代付0.87),300,        ,交易关闭    ,0,0,                    ,         
"2017043021001001210275909221	","T200P12815129749314247	",2017/4/30 21:10,2017/4/30 21:10,2017/5/2 16:21,淘宝        ,支付宝担保交易         ,开***2           ,定制筷子 新锐鸡翅木筷子5双免费姓氏刻字家用原木套装礼品D5,225,收入      ,等待对方确认收货,0,0,                    ,待收入      
